"player_key","games","fumbles_rec","fumbles_lost","fumbles_fum","interceptions_td","interceptions_yds","interceptions_int","receiving_td","receiving_yds","receiving_rec","rushing_td","rushing_yds","rushing_car","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"adrien robinson",8,0,0,0,0,0,0,3,167,8,0,0,0,72,NA,20.875,NA,"00-0029281","Adrien Robinson",2014,1.77777777777778,9
"alan cross",9,0,0,0,0,0,0,3,229,24,0,0,0,38,NA,9.54166666666667,NA,"00-0032745","Alan Cross",2016,1.43636363636364,11
"albert okwuegbunam",9,0,0,0,0,0,0,6,306,26,0,0,0,36,NA,11.7692307692308,NA,"00-0036423","Albert Okwuegbunam",2020,7.275,4
"alex bayer",12,0,0,0,0,0,0,2,412,27,0,0,0,57,NA,15.2592592592593,NA,"00-0030975","Alex Bayer",2014,0,1
"alex ellis",4,0,0,0,0,0,0,0,43,5,0,0,0,24,NA,8.6,NA,"00-0032864","Alex Ellis",2016,0.82,5
"allen reisner",12,0,0,0,0,0,0,2,410,39,0,0,0,55,NA,10.5128205128205,NA,"00-0028267","Allen Reisner",2011,0.75,2
"asante cleveland",2,0,0,0,0,0,0,1,23,3,0,0,0,10,NA,7.66666666666667,NA,"00-0030832","Asante Cleveland",2014,0,1
"austin hooper",11,0,0,0,0,0,0,6,415,31,0,0,0,42,NA,13.3870967741935,NA,"00-0032392","Austin Hooper",2016,5.1625,16
"austin seferian jenkins",11,0,0,0,0,0,0,7,413,33,0,0,0,34,NA,12.5151515151515,NA,"00-0031418","Austin Seferian-Jenkins",2014,5.9,9
"austin traylor",6,0,0,0,0,0,0,3,163,11,0,0,0,38,NA,14.8181818181818,NA,"00-0033043","Austin Traylor",2017,3.6,5
"baylor cupp",10,0,0,0,0,0,0,2,114,11,0,0,0,19,NA,10.3636363636364,NA,"00-0039316","Baylor Cupp",2024,0,1
"ben koyack",12,0,0,0,0,0,0,2,305,29,0,0,0,28,NA,10.5172413793103,NA,"00-0032139","Ben Koyack",2016,4.11,10
"ben sims",11,0,0,0,0,0,0,3,255,31,1,1,1,25,1,8.2258064516129,1,"00-0038809","Ben Sims",2023,1.92857142857143,7
"ben sinnott",11,0,0,1,0,0,0,6,676,49,0,0,0,44,NA,13.7959183673469,NA,"00-0039912","Ben Sinnott",2024,2.1375,8
"ben yurosek",6,0,0,0,0,0,0,0,164,13,0,0,0,31,NA,12.6153846153846,NA,"00-0040509","Ben Yurosek",2025,0.566666666666667,6
"blake bell",7,0,0,0,0,0,0,4,154,13,0,4,2,22,2,11.8461538461538,2,"00-0032062","Blake Bell",2015,3.73333333333333,9
"blake jarwin",11,0,0,0,0,0,0,1,289,17,0,0,0,54,NA,17,NA,"00-0033658","Blake Jarwin",2018,5.59333333333333,15
"blake whiteheart",10,0,0,0,0,0,0,3,287,23,0,0,0,30,NA,12.4782608695652,NA,"00-0038710","Blake Whiteheart",2024,2.44285714285714,7
"brad smelley",11,0,0,0,0,0,0,4,317,27,0,1,1,35,1,11.7407407407407,1,"00-0029315","Brad Smelley",2012,1.3,1
"braedon bowman",8,0,0,0,0,0,0,0,147,11,0,0,0,55,NA,13.3636363636364,NA,"00-0032515","Braedon Bowman",2016,0,2
"brandon barden",7,0,0,0,0,0,0,1,223,13,0,0,0,73,NA,17.1538461538462,NA,"00-0028961","Brandon Barden",2012,0,1
"brandon myers",1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0027135","Brandon Myers",2011,1.94375,16
"brandon williams",2,0,0,0,0,0,0,0,48,2,0,0,0,29,NA,24,NA,"00-0029793","Brandon Williams",2013,0,1
"brayden willis",11,0,1,1,0,0,0,7,456,35,0,26,10,78,6,13.0285714285714,2.6,"00-0038643","Brayden Willis",2023,0,2
"brenden bates",4,0,0,0,0,0,0,0,89,4,0,0,0,33,NA,22.25,NA,"00-0039458","Brenden Bates",2024,0,1
"brenton strange",12,0,0,0,0,0,0,5,362,32,0,0,1,67,0,11.3125,0,"00-0038935","Brenton Strange",2023,2.07142857142857,7
"brevin jordan",6,0,0,0,0,0,0,4,340,24,0,0,0,47,NA,14.1666666666667,NA,"00-0036556","Brevin Jordan",2021,6.975,8
"brevyn spann ford",10,0,0,0,0,0,0,2,239,25,0,0,0,31,NA,9.56,NA,"00-0039530","Brevyn Spann-Ford",2024,1.61818181818182,11
"brock bowers",10,0,0,2,0,0,0,6,714,56,1,28,6,49,14,12.75,4.66666666666667,"00-0039338","Brock Bowers",2024,15.4529411764706,17
"brock wright",2,0,0,0,0,0,0,0,21,3,0,0,0,11,NA,7,NA,"00-0036754","Brock Wright",2021,4.4625,8
"brycen hopkins",11,0,0,0,0,0,0,7,830,61,0,0,0,72,NA,13.6065573770492,NA,"00-0036424","Brycen Hopkins",2021,5.3,2
"c j fiedorowicz",12,0,0,0,0,0,0,6,253,26,0,0,0,25,NA,9.73076923076923,NA,"00-0031302","C.J. Fiedorowicz",2014,1.6,8
"c j uzomah",6,0,0,0,0,0,0,2,125,10,0,1,1,26,1,12.5,1,"00-0032134","C.J. Uzomah",2015,0.466666666666667,3
"cade otton",8,0,0,1,0,0,0,1,250,28,0,0,0,25,NA,8.92857142857143,NA,"00-0038129","Cade Otton",2022,6.05294117647059,17
"cade stover",10,0,0,1,0,0,0,5,576,41,0,0,0,49,NA,14.0487804878049,NA,"00-0039359","Cade Stover",2024,2.74,15
"caleb wilson",11,0,0,0,0,0,0,4,965,60,0,4,1,66,4,16.0833333333333,4,"00-0035320","Caleb Wilson",2020,0,1
"cameron latu",9,0,0,0,0,0,0,3,323,25,0,0,0,38,NA,12.92,NA,"00-0038564","Cameron Latu",2025,0,10
"cethan carter",8,0,0,0,0,0,0,1,156,17,0,25,2,27,16,9.17647058823529,12.5,"00-0033338","Cethan Carter",2017,0,6
