player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0027873,Jermaine Gresham,2010,12,21,1,21,77,261,25,1,92,1,5,0,4.16666666666667,67.1666666666667,1,0,0,0,8.20666666666667,15,1
00-0027445,Jeron Mastrud,2010,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.1,23.3,0.1,0,0,0,0,2,1
00-0032135,Jesse James,2015,12,160,5,24,79,261,237,14,41,0,0,0,2.91666666666667,30.75,0.25,0,0,0,4.13333333333333,6,1
00-0027825,Jim Dray,2010,6,233,7,26,77,246,NA,23,30,0,0,0,1.66666666666667,22,0.5,0,0,0,0.77,10,1
00-0027696,Jimmy Graham,2010,9,95,3,31,78,260,96,7,71,0,0,0,1.55555555555556,20.3333333333333,0.555555555555556,0,0,0,8.075,12,1
00-0036628,John Bates,2021,3,124,4,19,77,250,189,9,53,0,0,0,4,39,0,0,0,0,4.24166666666667,12,1
00-0037306,John FitzPatrick,2023,7,213,6,35,79,262,305,19,38,0,0,0,1,13.8333333333333,0,0,0,0,0.733333333333333,3,1
00-0033246,Johnny Mundt,2018,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.875,41.75,0.5,0,0,0,0.75,2,1
00-0033858,Jonnu Smith,2017,11,100,3,36,75,248,126,11,67,1,5,0,3.81818181818182,46,0.363636363636364,0,0,0,3.1625,16,1
00-0033953,Jordan Leggett,2018,11,150,5,6,78,258,79,6,76,0,0,0,3.45454545454545,57.9090909090909,0.636363636363636,0,1,1,2.41538461538462,13,1
00-0030472,Jordan Reed,2013,12,85,3,23,75,236,116,6,69,0,0,0,3.66666666666667,46,0.25,0,0,0,12.7444444444444,9,1
00-0030647,Jordan Thompson,2014,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.6,19,0.2,0,0,0,0,1,1
00-0035249,Josh Oliver,2019,12,69,3,5,77,249,102,7,71,0,0,0,4.66666666666667,59.0833333333333,0.333333333333333,0,0,0,1.5,3,1
