"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","receiving_td_pg","receiving_yds_pg","receiving_rec_pg","rushing_td_pg","rushing_yds_pg","rushing_car_pg","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"carson labensky","Carson Labensky",2025,"TE",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.75,1.25,NA,NA,NA,11,NA,8.6,NA,NA,NA,NA,NA,NA
"carson tabaracci","Carson Tabaracci",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,NA,NA,NA,9,NA,9,NA,NA,NA,NA,NA,NA
"carson williams","Carson Williams",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.8,1.4,NA,NA,NA,15,NA,10.5714285714286,NA,NA,NA,NA,NA,NA
"carter moses","Carter Moses",2025,"TE",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222222222,35.6666666666667,2.88888888888889,NA,NA,NA,33,NA,12.3461538461538,NA,NA,NA,NA,NA,NA
"carter nelson","Carter Nelson",2025,"TE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,1,NA,NA,NA,8,NA,5.5,NA,NA,NA,NA,NA,NA
"carter neuman","Carter Neuman",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,1.25,NA,NA,NA,17,NA,9.6,NA,NA,NA,NA,NA,NA
"casey o sullivan","Casey O'Sullivan",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.5,2,NA,NA,NA,7,NA,4.25,NA,NA,NA,NA,NA,NA
"cc ezirim","CC Ezirim",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,4,1,NA,NA,NA,6,NA,4,NA,NA,NA,NA,NA,NA
"chamon metayer","Chamon Metayer",2025,"TE",10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,0.4,37.5,3.8,0,1,1,27,1,9.86842105263158,1,NA,NA,NA,NA,NA
"chance bogan","Chance Bogan",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.8333333333333,2.16666666666667,NA,NA,NA,18,NA,8.23076923076923,NA,NA,NA,NA,NA,NA
"charles bernard","Charles Bernard",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"charles garrison","Charles Garrison",2025,"TE",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,32.9,2.7,NA,NA,NA,36,NA,12.1851851851852,NA,NA,NA,NA,NA,NA
"charles george","Charles George",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
