"player_key","games","fumbles_rec","fumbles_lost","fumbles_fum","interceptions_td","interceptions_yds","interceptions_int","receiving_td","receiving_yds","receiving_rec","rushing_td","rushing_yds","rushing_car","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"chris rowland",1,0,0,0,0,0,0,2,202,11,0,-1,3,96,5,18.3636363636364,-0.333333333333333,"00-0035789","Chris Rowland",2020,0,2
"chris thompson",7,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0033855","Chris Thompson",2017,1.11666666666667,12
"christian blake",12,0,1,2,0,0,0,4,414,38,0,61,14,50,14,10.8947368421053,4.35714285714286,"00-0034132","Christian Blake",2019,2.87142857142857,7
"christian kirk",12,0,2,3,0,0,0,7,730,58,0,27,3,81,28,12.5862068965517,9,"00-0034775","Christian Kirk",2018,10.2916666666667,12
"cody hollister",7,2,0,0,0,0,0,0,140,10,1,48,2,37,26,14,24,"00-0033386","Cody Hollister",2019,1.1,3
"cody thompson",12,0,1,1,0,0,0,10,592,43,0,0,0,38,NA,13.7674418604651,NA,"00-0035164","Cody Thompson",2021,0,2
"cody white",12,0,2,3,0,0,0,5,825,58,0,22,6,49,13,14.2241379310345,3.66666666666667,"00-0035891","Cody White",2021,1.38333333333333,6
"coleman owen",12,0,0,0,0,0,0,7,1022,62,1,22,1,75,22,16.4838709677419,22,"00-0040352","Coleman Owen",2025,0,2
"collin johnson",6,0,1,1,0,0,0,2,497,35,0,0,0,37,NA,14.2,NA,"00-0036254","Collin Johnson",2020,5.38181818181818,11
"colton dowell",11,0,0,0,0,0,0,6,1032,67,0,6,1,54,6,15.4029850746269,6,"00-0038632","Colton Dowell",2023,0.325,4
"cooper kupp",1,0,0,0,0,0,0,3,206,12,0,29,2,75,15,17.1666666666667,14.5,"00-0033908","Cooper Kupp",2017,12.3625,16
"corey davis",13,0,0,0,0,0,0,18,1427,91,0,0,1,70,0,15.6813186813187,0,"00-0033871","Corey Davis",2017,7.71538461538462,13
