player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0019663,Darrell Jackson,2006,14,80,3,18,NA,NA,NA,NA,NA,0,0,0,4.78571428571429,71.7857142857143,0.714285714285714,0,0,0,7.58,15,0
00-0019663,Darrell Jackson,2007,15,80,3,18,NA,NA,NA,NA,NA,0,0,0,3.06666666666667,33.1333333333333,0.2,0.133333333333333,0,0,3.7,10,0
00-0019703,Jerry Porter,2004,16,47,2,16,NA,NA,NA,NA,NA,0.0625,-0.25,0,4,62.375,0.5625,0,0,0,12.4625,16,0
00-0019703,Jerry Porter,2005,16,47,2,16,NA,NA,NA,NA,NA,0.0625,-0.5,0,4.75,58.875,0.3125,0.0625,0,0,2.9,1,0
00-0019703,Jerry Porter,2007,16,47,2,16,NA,NA,NA,NA,NA,0,0,0,2.75,44.0625,0.375,0,0,0,5.01428571428571,7,0
00-0019721,Travis Taylor,2004,10,10,1,10,NA,NA,NA,NA,NA,0,0,0,3.4,42.1,0,0,0,0,8.41875,16,0
00-0019721,Travis Taylor,2005,16,10,1,10,NA,NA,NA,NA,NA,0.125,0.1875,0,3.125,37.75,0.25,0,0,0,8.5375,16,0
00-0019721,Travis Taylor,2006,16,10,1,10,NA,NA,NA,NA,NA,0.0625,0.3125,0,3.5625,40.6875,0.1875,0.125,0,0,1.4,1,0
00-0019779,J.J. Moses,2004,15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0
00-0019905,Jimmy Farris,2004,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1.4,2,0
00-0019976,Drew Bennett,2004,15,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,0.8,0,5.33333333333333,83.1333333333333,0.733333333333333,0.133333333333333,0,0,12.0076923076923,13,0
